"","X","eruptions","waiting"
"1",1,3.6,79
"2",2,1.8,54
"3",3,3.333,74
"4",4,2.283,62
"5",5,4.533,85
"6",6,2.883,55
"7",7,4.7,88
"8",8,3.6,85
"9",9,1.95,51
"10",10,4.35,85
"11",11,1.833,54
"12",12,3.917,84
"13",13,4.2,78
"14",14,1.75,47
"15",15,4.7,83
"16",16,2.167,52
"17",17,1.75,62
"18",18,4.8,84
"19",19,1.6,52
"20",20,4.25,79
"21",21,1.8,51
"22",22,1.75,47
"23",23,3.45,78
"24",24,3.067,69
"25",25,4.533,74
"26",26,3.6,83
"27",27,1.967,55
"28",28,4.083,76
"29",29,3.85,78
"30",30,4.433,79
"31",31,4.3,73
"32",32,4.467,77
"33",33,3.367,66
"34",34,4.033,80
"35",35,3.833,74
"36",36,2.017,52
"37",37,1.867,48
"38",38,4.833,80
"39",39,1.833,59
"40",40,4.783,90
"41",41,4.35,80
"42",42,1.883,58
"43",43,4.567,84
"44",44,1.75,58
"45",45,4.533,73
"46",46,3.317,83
"47",47,3.833,64
"48",48,2.1,53
"49",49,4.633,82
"50",50,2,59
"51",51,4.8,75
"52",52,4.716,90
"53",53,1.833,54
"54",54,4.833,80
"55",55,1.733,54
"56",56,4.883,83
"57",57,3.717,71
"58",58,1.667,64
"59",59,4.567,77
"60",60,4.317,81
"61",61,2.233,59
"62",62,4.5,84
"63",63,1.75,48
"64",64,4.8,82
"65",65,1.817,60
"66",66,4.4,92
"67",67,4.167,78
"68",68,4.7,78
"69",69,2.067,65
"70",70,4.7,73
"71",71,4.033,82
"72",72,1.967,56
"73",73,4.5,79
"74",74,4,71
"75",75,1.983,62
"76",76,5.067,76
"77",77,2.017,60
"78",78,4.567,78
"79",79,3.883,76
"80",80,3.6,83
"81",81,4.133,75
"82",82,4.333,82
"83",83,4.1,70
"84",84,2.633,65
"85",85,4.067,73
"86",86,4.933,88
"87",87,3.95,76
"88",88,4.517,80
"89",89,2.167,48
"90",90,4,86
"91",91,2.2,60
"92",92,4.333,90
"93",93,1.867,50
"94",94,4.817,78
"95",95,1.833,63
"96",96,4.3,72
"97",97,4.667,84
"98",98,3.75,75
"99",99,1.867,51
"100",100,4.9,82
"101",101,2.483,62
"102",102,4.367,88
"103",103,2.1,49
"104",104,4.5,83
"105",105,4.05,81
"106",106,1.867,47
"107",107,4.7,84
"108",108,1.783,52
"109",109,4.85,86
"110",110,3.683,81
"111",111,4.733,75
"112",112,2.3,59
"113",113,4.9,89
"114",114,4.417,79
"115",115,1.7,59
"116",116,4.633,81
"117",117,2.317,50
"118",118,4.6,85
"119",119,1.817,59
"120",120,4.417,87
"121",121,2.617,53
"122",122,4.067,69
"123",123,4.25,77
"124",124,1.967,56
"125",125,4.6,88
"126",126,3.767,81
"127",127,1.917,45
"128",128,4.5,82
"129",129,2.267,55
"130",130,4.65,90
"131",131,1.867,45
"132",132,4.167,83
"133",133,2.8,56
"134",134,4.333,89
"135",135,1.833,46
"136",136,4.383,82
"137",137,1.883,51
"138",138,4.933,86
"139",139,2.033,53
"140",140,3.733,79
"141",141,4.233,81
"142",142,2.233,60
"143",143,4.533,82
"144",144,4.817,77
"145",145,4.333,76
"146",146,1.983,59
"147",147,4.633,80
"148",148,2.017,49
"149",149,5.1,96
"150",150,1.8,53
"151",151,5.033,77
"152",152,4,77
"153",153,2.4,65
"154",154,4.6,81
"155",155,3.567,71
"156",156,4,70
"157",157,4.5,81
"158",158,4.083,93
"159",159,1.8,53
"160",160,3.967,89
"161",161,2.2,45
"162",162,4.15,86
"163",163,2,58
"164",164,3.833,78
"165",165,3.5,66
"166",166,4.583,76
"167",167,2.367,63
"168",168,5,88
"169",169,1.933,52
