p_edge,n_normal,n_edge,baseline_sse,improved_sse,delta_sse,baseline_var,improved_var,delta_var
0.04,100,100,inf,inf,,0.01008877166859512,0.01088821769494944,0.0007994460263543203
0.3,10000,10000,inf,inf,,0.00033555939023396903,0.0003174897872969179,-1.806960293705115e-05
0.1,1000,1000,inf,inf,,0.0019034644052277844,0.00192013578850328,1.6671383275495546e-05
0.04,10000,10000,inf,inf,,0.0003964503837357424,0.00040219975202803615,5.749368292293732e-06
0.3,1000,1000,inf,inf,,0.0020346200560288396,0.001897880944509366,-0.00013673911151947365
0.2,1000,1000,inf,inf,,0.001939509526133758,0.002042539016787014,0.00010302949065325601
0.02,1000,1000,inf,inf,,0.001784648651121733,0.001869778150889481,8.5129499767748e-05
0.1,100,100,inf,inf,,0.009181814650527474,0.010110684516175708,0.0009288698656482342
0.2,100,100,inf,inf,,0.010316040240751355,0.010776901204744317,0.0004608609639929623
0.04,1000,1000,inf,inf,,0.0018094061383195337,0.0018405063840034352,3.110024568390144e-05
0.02,100,100,inf,inf,,0.012037414016913363,0.012468049920572995,0.0004306359036596319
0.1,10000,10000,inf,inf,,0.0003556923256014285,0.00035927855269432334,3.586227092894866e-06
0.01,100,100,inf,inf,,0.010346063482001858,0.010972626612201076,0.0006265631301992178
0.2,10000,10000,inf,inf,,0.0003465500823979728,0.0003337926247629802,-1.2757457634992632e-05
0.01,10000,10000,inf,inf,,0.000364186695971227,0.00037302993403089,8.84323805966299e-06
0.3,100,100,inf,inf,,0.010068008352136629,0.011058442929779833,0.0009904345776432042
0.02,10000,10000,inf,inf,,0.00035753630118965404,0.00036751777717222565,9.981475982571606e-06
0.01,1000,1000,inf,inf,,0.001840711211067014,0.001897375377493482,5.666416642646798e-05
