p_edge,n_normal,n_edge,baseline_sse,improved_sse,delta_sse,baseline_var,improved_var,delta_var
0.04,100,100,0.004470649957403685,0.003997491494408736,-0.00047315846299494924,0.00021263247691741816,0.0002405278106516906,2.7895333734272425e-05
0.3,10000,10000,0.0007885442269020693,0.0007909753016024387,2.431074700369484e-06,7.804839197506813e-06,9.009160913320932e-06,1.2043217158141187e-06
0.1,1000,1000,0.0019699745364335232,0.0020566599576341046,8.668542120058133e-05,4.213141074078502e-05,4.8846298460061474e-05,6.714887719276455e-06
0.04,10000,10000,0.0009264606497003025,0.0008922342719264656,-3.422637777383689e-05,7.496550048425219e-06,8.023511283327891e-06,5.269612349026728e-07
0.3,1000,1000,0.002382538969374665,0.0023334292303802797,-4.910973899438552e-05,4.368326323231473e-05,5.494216748438927e-05,1.1258904252074538e-05
0.2,1000,1000,0.0017023618743741318,0.0017564752084059732,5.4113334031841414e-05,4.290314446853465e-05,5.1214515932901316e-05,8.311371464366667e-06
0.02,1000,1000,0.0019783413601522416,0.001780076589508244,-0.00019826477064399748,4.473342236741111e-05,4.720321843484244e-05,2.4697960674313277e-06
0.1,100,100,0.005550213244184441,0.005497315874867777,-5.289736931666372e-05,0.00023666595170518796,0.00028538495204124246,4.87190003360545e-05
0.2,100,100,0.004253392196512655,0.0038569781369899693,-0.0003964140595226857,0.00030821996371379923,0.0003882385037230083,8.001854000920907e-05
0.04,1000,1000,0.0020763142045208353,0.0018356759657236115,-0.0002406382387972238,4.182004133472146e-05,4.5646280299721804e-05,3.826238965000342e-06
0.02,100,100,0.005335522318319099,0.004909946163276794,-0.00042557615504230494,0.00020864664345539595,0.00022469526745548865,1.6048624000092706e-05
0.1,10000,10000,0.0009551346594560536,0.0009878166217815903,3.268196232553665e-05,7.2592007099928546e-06,8.125490518727945e-06,8.662898087350907e-07
0.01,100,100,0.005032157467919031,0.004794312675625762,-0.00023784479229326926,0.00024418261561612455,0.00025344990222465555,9.267286608530994e-06
0.2,10000,10000,0.0008923916551211858,0.0010257809164156229,0.00013338926129443708,7.34783029800718e-06,8.488791956271403e-06,1.1409616582642228e-06
0.01,10000,10000,0.000903343964002528,0.0008546808913068657,-4.866307269566232e-05,8.030311003583664e-06,8.27564299413836e-06,2.45331990554695e-07
0.3,100,100,0.0038385594430769042,0.0033195695873999855,-0.0005189898556769187,0.0002080548724890846,0.0002872215250442379,7.916665255515329e-05
0.02,10000,10000,0.0007948292191999714,0.000725425119940885,-6.940409925908632e-05,7.440036435987416e-06,7.817024862082214e-06,3.7698842609479834e-07
0.01,1000,1000,0.0019971413992585785,0.0018779856871733568,-0.00011915571208522165,3.9337174616413674e-05,4.107661346859195e-05,1.7394388521782756e-06
