p_edge,n_normal,n_edge,baseline_sse,improved_sse,delta_sse,baseline_var,improved_var,delta_var
0.04,100,100,0.00419085027674857,0.004191093749553094,2.4347280452429593e-07,0.0002590837956004636,0.00025776613057054557,-1.3176650299180442e-06
0.3,10000,10000,0.0008769058062080593,0.0008905499168555189,1.3644110647459667e-05,7.93954915008227e-06,5.9117751468363884e-06,-2.027774003245881e-06
0.1,1000,1000,0.002149926818725295,0.0022077890390043665,5.7862220279071563e-05,4.197733239444105e-05,3.984659478802552e-05,-2.13073760641553e-06
0.04,10000,10000,0.0009066091531890196,0.0009142637189335289,7.65456574450935e-06,7.594369028180573e-06,7.490747999209038e-06,-1.0362102897153556e-07
0.3,1000,1000,0.002262879498125082,0.0022469365243527285,-1.5942973772353677e-05,4.118546489960605e-05,3.0224552231383635e-05,-1.0960912668222413e-05
0.2,1000,1000,0.0020733890442015007,0.001975773614772996,-9.761542942850459e-05,5.0882226322124715e-05,4.2085094424921517e-05,-8.797131897203199e-06
0.02,1000,1000,0.002318601705117647,0.002340418724497092,2.1817019379445027e-05,4.513109286046165e-05,4.4038667205989216e-05,-1.0924256544724326e-06
0.1,100,100,0.005959267375943096,0.005792450562371812,-0.0001668168135712843,0.00021345093517846623,0.00020017804381800252,-1.3272891360463702e-05
0.2,100,100,0.004475609446183379,0.004510584277398902,3.497483121552361e-05,0.00021404126841487257,0.00019538173787997878,-1.8659530534893793e-05
0.04,1000,1000,0.0021282405434710095,0.0020462740744000645,-8.1966469070945e-05,3.957394093051851e-05,3.952705933223567e-05,-4.688159828283942e-08
0.02,100,100,0.005124669740464882,0.005060431419440126,-6.423832102475657e-05,0.00026583523576301346,0.0002585337400730851,-7.30149568992837e-06
0.1,10000,10000,0.000835291763626566,0.000845862785578097,1.0571021951530997e-05,7.587479365337192e-06,7.03638763105848e-06,-5.510917342787124e-07
0.01,100,100,0.005795964721184457,0.005772632857892639,-2.333186329181794e-05,0.0002158132243623616,0.00021567149894128712,-1.417254210744716e-07
0.2,10000,10000,0.0008346586416166365,0.0008000488047743604,-3.4609836842276146e-05,7.144246149106068e-06,5.885500273260747e-06,-1.258745875845321e-06
0.01,10000,10000,0.0009227391505153347,0.0009190163340136773,-3.7228165016573583e-06,7.691711878282652e-06,7.655432558517405e-06,-3.6279319765246856e-08
0.3,100,100,0.00522357372969829,0.004874094790579067,-0.0003494789391192228,0.0002496644773624201,0.0002135055344680769,-3.615894289434317e-05
0.02,10000,10000,0.000818590223620701,0.0008169367442683629,-1.6534793523381025e-06,7.472095527808198e-06,7.345324890042468e-06,-1.2677063776572996e-07
0.01,1000,1000,0.002194699100071904,0.0021502249115325,-4.447418853940378e-05,4.536657614459091e-05,4.51355558414333e-05,-2.3102030315761129e-07
