x,true,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90,run_91,run_92,run_93,run_94,run_95,run_96,run_97,run_98,run_99
-3.0,3.800542504044357e-08,2.5097106112978946e-06,1.4546849574206445e-07,2.008087028446344e-06,9.807005657590401e-08,1.4685659133681112e-05,2.849962803228124e-07,4.7400309249683303e-07,4.0726280820871154e-06,2.443223383889287e-06,1.4559276426260897e-06,4.509657456751959e-06,2.7913605244050884e-06,5.8565551497203234e-08,5.386249301296934e-07,8.804443613457349e-07,2.8505020872103303e-06,3.985858686455988e-08,7.785327505812431e-08,6.486844270720439e-08,1.5298664670613109e-07,2.9945895244663303e-07,9.466751725418013e-07,1.5155348325471025e-06,3.402353843864113e-07,4.402907476855189e-07,2.6834677620593726e-07,1.6041269950449626e-06,3.6823458767548323e-07,4.998835953219811e-08,4.806949064978446e-06,5.6569800717839405e-08,7.686838595923716e-07,9.20977324027743e-06,3.386207901825463e-06,6.886023374159701e-07,8.010570021204812e-08,7.246303474394508e-08,8.213001447112118e-06,4.979970824854632e-07,1.3167531178521504e-06,5.126692514712137e-07,1.1630760623268803e-09,5.047591389544028e-07,7.147371885525984e-08,4.2398773046285665e-07,8.043938254282688e-07,3.745229284514155e-05,3.943420391059313e-06,1.6822327095082953e-06,6.168792233250295e-06,5.518997918339723e-08,9.201946594928023e-08,7.916419500838303e-07,9.179578459380227e-05,2.807623065077728e-06,1.7269254325513308e-08,2.848407158891567e-06,1.5173563044931472e-08,1.2673988060601716e-06,7.609484662447977e-08,1.204254186288947e-06,2.2956861317716825e-07,7.822498907545363e-07,1.3588641183808424e-06,1.4466843365935494e-08,2.057164206675344e-06,3.050317633339128e-06,5.405409635138153e-07,3.802605085839769e-06,9.211809230982899e-07,1.230550005442906e-07,6.416038836851702e-07,4.565247748385861e-06,6.251748212443958e-06,8.23874809976986e-06,5.691206935620182e-07,3.0678127241898803e-06,1.0524713344622595e-05,1.2494473356131523e-07,2.0734854705822735e-06,4.238781418386197e-07,1.5246831733868632e-05,4.241025578133994e-06,1.449096987755524e-06,2.4773093426412754e-07,4.379095080669489e-07,6.038228934715101e-08,1.1087270698962262e-06,1.4144912677555892e-07,6.110903338036766e-08,7.547524691016865e-09,1.2810029647730945e-07,5.512991586096459e-07,1.0004814859378365e-07,3.248472337586197e-07,2.1499772613974433e-06,2.3493853068601932e-07,2.7665386881168574e-08,4.1457158205169695e-05,1.4885788967186276e-05
-2.9598997493734336,8.04091815144822e-08,4.415952112341595e-06,3.170468528422583e-07,3.6126962673103396e-06,2.2988399786659577e-07,2.264149002747029e-05,5.970252784104591e-07,9.334725004640996e-07,7.455421654835245e-06,4.348950406077282e-06,2.7682649002597384e-06,7.674747985933887e-06,5.152642714802527e-06,1.386144054695983e-07,1.087608941825522e-06,1.6917641751866264e-06,5.258755054452448e-06,9.357452537557741e-08,1.7861173905971393e-07,1.4934316385255033e-07,3.3840731386921326e-07,6.29415970480752e-07,1.8378847632838434e-06,2.790707117135944e-06,7.152126398863733e-07,8.824152704756381e-07,5.607813220155047e-07,3.0601483148201632e-06,7.275898907631702e-07,1.1990859867491476e-07,8.534657157017457e-06,1.3364362816691256e-07,1.5702371180350566e-06,1.638608539898598e-05,6.091455119617058e-06,1.3456087222418687e-06,1.826915127325726e-07,1.6756825074196422e-07,1.3832656033990189e-05,9.926040221197307e-07,2.489658500813366e-06,1.0179842035449537e-06,3.228424973855347e-09,1.01651557656567e-06,1.6245962212419024e-07,8.842819904677673e-07,1.5865694052543437e-06,5.2665514221888355e-05,7.099118693015107e-06,3.3192698401524693e-06,1.0664122443422887e-05,1.2691655200625482e-07,1.9946097012460303e-07,1.541953793620138e-06,0.00011584384552206897,5.093781850991282e-06,4.172940966095929e-08,4.965338806804173e-06,3.7490670021926145e-08,2.3864889033336006e-06,1.694146413531462e-07,2.396659488577395e-06,4.914118671935261e-07,1.5858774310287757e-06,2.5496716400053706e-06,3.618002943728931e-08,3.690081929837416e-06,5.508477706396536e-06,1.068943267237918e-06,6.805280324466165e-06,1.7551728657610668e-06,2.6885928857907974e-07,1.2447051413291492e-06,7.726979427051274e-06,1.096048457141394e-05,1.3682377113138602e-05,1.1055250926001491e-06,5.623595703596591e-06,1.7164695303342022e-05,2.6742809473180007e-07,3.75226548511435e-06,8.556610071715908e-07,2.50734020738377e-05,7.784105494792905e-06,2.8313967756153796e-06,5.320865152634991e-07,8.591482453957094e-07,1.46573568275329e-07,2.0995064656685115e-06,3.1596459066133586e-07,1.403504891663348e-07,1.883748287889922e-08,2.804383928158243e-07,1.070662630213563e-06,2.2136471449438083e-07,6.795901337225082e-07,3.972187020367251e-06,5.018958805374571e-07,6.784207951551568e-08,6.057750281195883e-05,2.4109282104243664e-05
-2.919799498746867,1.6492569755933317e-07,7.518650103337423e-06,6.647152697402948e-07,6.259872321566858e-06,5.194714518601006e-07,3.366201137663841e-05,1.2075231175455722e-06,1.7750135536099578e-06,1.317335278823329e-05,7.472047756578662e-06,5.069653126137404e-06,1.256566791506642e-05,9.17690390063876e-06,3.162214920946811e-07,2.1206897549544822e-06,3.143113791893365e-06,9.342901948369617e-06,2.1211323899303412e-07,3.953556751007994e-07,3.317899515956639e-07,7.229626924536144e-07,1.2783910119040567e-06,3.447468059760454e-06,4.9417332645068374e-06,1.4520832907546701e-06,1.702117033775171e-06,1.128993690353725e-06,5.627200177881907e-06,1.387788817325966e-06,2.7709765313161084e-07,1.4633525761283223e-05,3.0418649767986583e-07,3.096282010806628e-06,2.8020183857611823e-05,1.0563102406962457e-05,2.5383879672592473e-06,4.01646826190938e-07,3.7384139494436825e-07,2.2437539718749394e-05,1.914734717292132e-06,4.535465397049971e-06,1.95463779173681e-06,8.643919299797758e-09,1.9772602206032834e-06,3.5607355030805376e-07,1.7762534630230659e-06,3.017848948952217e-06,7.138526101038106e-05,1.2343459243540044e-05,6.319228808445274e-06,1.7752231528052812e-05,2.819464622111318e-07,4.1671797564806216e-07,2.900945185534247e-06,0.0001405239372084793,8.90608617694799e-06,9.727464397092437e-08,8.328620234049643e-06,8.929281801381773e-08,4.351758934330209e-06,3.6380559720033064e-07,4.594781254994589e-06,1.0148658900614202e-06,3.102478779507896e-06,4.614582011871827e-06,8.726369507283307e-08,6.372706183775158e-06,9.58712290148024e-06,2.043049352028219e-06,1.1751303965284988e-05,3.228009104118337e-06,5.667480850898181e-07,2.329308128718317e-06,1.2618471555780863e-05,1.855777183138112e-05,2.1930318542810207e-05,2.0744867196374317e-06,9.942897706442743e-06,2.7007677879267704e-05,5.533653687683209e-07,6.571223977240105e-06,1.6648932243597039e-06,3.992847005894164e-05,1.379480094454857e-05,5.325078853487576e-06,1.1034236519144481e-06,1.6257653766638559e-06,3.427598708375073e-07,3.835260247591779e-06,6.819255819460337e-07,3.10816411374571e-07,4.5351633878405956e-08,5.918064063534287e-07,2.0084559897236036e-06,4.7290655403990733e-07,1.3721721200164518e-06,7.076695949217879e-06,1.0338408398609687e-06,1.6044708420645737e-07,8.583170975966902e-05,3.778666905161718e-05
-2.8796992481203008,3.283397107810381e-07,1.2399243689323948e-05,1.3410313046446567e-06,1.0453341876100957e-05,1.1318053905468417e-06,4.8305750204596225e-05,2.3589174095991915e-06,3.261481367127172e-06,2.247442285721391e-05,1.2399579007421608e-05,8.945623019119123e-06,1.9803016166406165e-05,1.5779408792049655e-05,6.955103747326704e-07,3.994827455581214e-06,5.64948794072815e-06,1.5993067546155705e-05,4.643922844680299e-07,8.445395765879328e-07,7.115073616429457e-07,1.4922278155374188e-06,2.5100363015070936e-06,6.252645538099789e-06,8.418161413694158e-06,2.8489696397048604e-06,3.162179848583446e-06,2.1908054873782497e-06,9.980781067668233e-06,2.557310931249288e-06,6.17018387930871e-07,2.4246008479253854e-05,6.671860322847941e-07,5.894973927791509e-06,4.6057331759513846e-05,1.7664172809442583e-05,4.625863252684792e-06,8.514804042276586e-07,8.049615432297792e-07,3.5057854093602205e-05,3.5769657833638823e-06,7.96436620031575e-06,3.6328147358237946e-06,2.2327878032030892e-08,3.7169539650163345e-06,7.528087386826128e-07,3.437668162005329e-06,5.538566421685166e-06,9.336628199337962e-05,2.0741682907847564e-05,1.1612711068882544e-05,2.846490782104741e-05,6.052298339980717e-07,8.395553456461528e-07,5.276201220699479e-06,0.00016396711935334906,1.501374095590678e-05,2.1888768797339565e-07,1.3445322770172337e-05,2.050599009272578e-07,7.692824745123431e-06,7.539205201294023e-07,8.488642651343613e-06,2.0228062189789675e-06,5.858957047921689e-06,8.058368455295808e-06,2.030254531299036e-07,1.0602120875725073e-05,1.608554027976668e-05,3.7762695035983133e-06,1.9591130318851616e-05,5.735990087354634e-06,1.153130241221652e-06,4.206531766938755e-06,1.989968456423128e-05,3.0363648333453727e-05,3.397989708343906e-05,3.763061781409701e-06,1.6964933940371195e-05,4.104109427764785e-05,1.107371759256226e-06,1.1149689282290737e-05,3.123965133001459e-06,6.162381546893278e-05,2.361682731769085e-05,9.642583635951708e-06,2.2103816621364064e-06,2.969111696286353e-06,7.723050950014686e-07,6.761592267475525e-06,1.4225272137334438e-06,6.639610079328517e-07,1.0536818787898794e-07,1.2044575444208936e-06,3.642461092955474e-06,9.76121448209779e-07,2.6751280888821753e-06,1.2167671988480034e-05,2.0541734106212996e-06,3.660174232756052e-07,0.00011810564131012837,5.73531244807721e-05
-2.8395989974937343,6.352136418852664e-07,1.9829277738305983e-05,2.604364518912908e-06,1.6837001712663995e-05,2.378082526327657e-06,6.699728513017188e-05,4.452822697286102e-06,5.796260382344441e-06,3.703531570944117e-05,1.9890182629583515e-05,1.5216554408889767e-05,3.006282148507072e-05,2.621442087625836e-05,1.4752803459135558e-06,7.273788825428096e-06,9.830659298207973e-06,2.639404823272139e-05,9.82317034290565e-07,1.7415251249093083e-06,1.4732136492310223e-06,2.976923999533286e-06,4.76623841930923e-06,1.0974194089239579e-05,1.3801919849368867e-05,5.40497070394459e-06,5.663016228704287e-06,4.100129730705282e-06,1.7088747174936298e-05,4.557406100246499e-06,1.3241614512664416e-06,3.8850102288102646e-05,1.4104998237822173e-06,1.0839669892131318e-05,7.278551114344445e-05,2.8499693023162267e-05,8.150498207444625e-06,1.7412747500248414e-06,1.6735664353089657e-06,5.2777085149769864e-05,6.476102910678621e-06,1.3489336056361335e-05,6.542770312168258e-06,5.565277521205344e-08,6.757287373686921e-06,1.5359055826362332e-06,6.413155010991991e-06,9.813537949188905e-06,0.00011803542900530646,3.371074889763088e-05,2.0609361837788294e-05,4.3981555350616925e-05,1.2557563216338216e-06,1.632104027548436e-06,9.286764618188383e-06,0.00018425525540636907,2.441928867139926e-05,4.7579114695419207e-07,2.089732496880237e-05,4.541978785383051e-07,1.3198774407273672e-05,1.5086001133571488e-06,1.5118265003600276e-05,3.892762996962873e-06,1.0685312914163341e-05,1.358301721925184e-05,4.557340139508696e-07,1.7006223772009345e-05,2.602735591207213e-05,6.754832455630455e-06,3.155550645835906e-05,9.859521766605834e-06,2.265747179006799e-06,7.334666772166252e-06,3.0342452694586036e-05,4.8042776886189696e-05,5.1003429968507405e-05,6.604449623946976e-06,2.7951587258598006e-05,6.031002091753971e-05,2.144064092901391e-06,1.835423400208856e-05,5.656048876811845e-06,9.22607335108974e-05,3.9083093167749616e-05,1.6817341480196698e-05,4.279456964966689e-06,5.237509330012849e-06,1.6770155765302381e-06,1.1511432368315718e-05,2.8693216968241153e-06,1.3687614079799705e-06,2.3636842392064783e-07,2.3655225864945144e-06,6.393225335948899e-06,1.948139473097743e-06,5.038123215944159e-06,2.021198186020573e-05,3.93871047850182e-06,8.055306392946725e-07,0.00015809258491792128,8.43737497268288e-05
-2.799498746867168,1.195546495068543e-06,3.079596460228866e-05,4.87122253506153e-06,2.6186790561511027e-05,4.819794406270191e-06,8.997864806001067e-05,8.126148031251114e-06,9.974539750711233e-06,5.897654727636094e-05,3.087327329735889e-05,2.496760928948964e-05,4.4011105704125726e-05,4.211452001109917e-05,3.0189331460104047e-06,1.2809180962817812e-05,1.6574398747365263e-05,4.202936686718823e-05,2.0082677341686192e-06,3.4678351658322946e-06,2.9463020947997476e-06,5.742521305796294e-06,8.757260581788841e-06,1.8656921303392035e-05,2.179384185261954e-05,9.922210972070726e-06,9.787320895743874e-06,7.406388534618331e-06,2.8273103973806038e-05,7.865068130304189e-06,2.7395031778109377e-06,6.025553252893229e-05,2.8750266015324214e-06,1.925716090181568e-05,0.00011061930485589409,4.4391958491375186e-05,1.3898084182424193e-05,3.4364477502301304e-06,3.3612147699064733e-06,7.658083086763342e-05,1.1372402964608515e-05,2.2053953773723486e-05,1.143317936074539e-05,1.3388197065529926e-07,1.1889030632411518e-05,3.025508129442092e-06,1.15391937730083e-05,1.6800245277269793e-05,0.00014462535263950628,5.304432465575225e-05,3.534320077925209e-05,6.552087093044985e-05,2.519191300185253e-06,3.0638745095871486e-06,1.5837170018558403e-05,0.00019983029310237564,3.835395639428681e-05,9.998325049649943e-07,3.128646304026935e-05,9.706385172198778e-07,2.2007337508480824e-05,2.916859978527403e-06,2.5969829638545897e-05,7.236387973293805e-06,1.882883780062804e-05,2.2110707805505928e-05,9.872325717359174e-07,2.633173937263771e-05,4.063279165114834e-05,1.1702947252078855e-05,4.914789980494107e-05,1.6417297394778436e-05,4.301855071920102e-06,1.2356039112014048e-05,4.480354075914899e-05,7.357340587740011e-05,7.435388193257567e-05,1.1226596330318088e-05,4.450538055885121e-05,8.583773191825338e-05,4.018484463839294e-06,2.935966552200582e-05,9.888019501692835e-06,0.00013413541893484782,6.25627308096497e-05,2.826296097443173e-05,8.012440117198346e-06,8.933081208718926e-06,3.5101758491308677e-06,1.893928463545017e-05,5.598449690220022e-06,2.7245395433145405e-06,5.122392461651577e-07,4.486282051452754e-06,1.0874599879019208e-05,3.7625369253974126e-06,9.171354313712829e-06,3.247668667133802e-05,7.291670488391552e-06,1.7106192778555415e-06,0.00020623164501856444,0.00012042345858150337
-2.7593984962406015,2.1914576438138118e-06,4.652471327363765e-05,8.78049849944108e-06,3.938730261427812e-05,9.425263243352345e-06,0.0001173309286372565,1.4345578735524751e-05,1.6643293670491106e-05,9.080774846442635e-05,4.64309031621757e-05,3.955179624029744e-05,6.223455631144849e-05,6.549755771593955e-05,5.962280986536268e-06,2.1830923123661875e-05,2.7102317434331617e-05,6.46421081574817e-05,3.969742223311647e-06,6.670659874724603e-06,5.693722274347775e-06,1.0716397424905297e-05,1.5577848742292292e-05,3.075598406918182e-05,3.3173699680019234e-05,1.763862702440429e-05,1.634772071348874e-05,1.2925439167402694e-05,4.5259582601625974e-05,1.3166339531179679e-05,5.465371853363728e-06,9.05561578003858e-05,5.651987197734466e-06,3.306645513037473e-05,0.0001617447964943236,6.68087637177419e-05,2.296134698662481e-05,6.54824017526872e-06,6.524676592640878e-06,0.00010716685079513645,1.9386616798881288e-05,3.4841552757322885e-05,1.9411128548033743e-05,3.109244614157312e-07,2.026186040111625e-05,5.7576682527888015e-06,2.0038921060477874e-05,2.7815222277458782e-05,0.00017246130372194834,8.090759319782965e-05,5.860683875285465e-05,9.418455762809029e-05,4.888133199447747e-06,5.559446173452981e-06,2.6201683254680964e-05,0.00020993377151964189,5.824417991128835e-05,2.03295697209988e-06,4.515571301576576e-05,2.0021083014276362e-06,3.570940714452729e-05,5.453843383715424e-06,4.3052571284799605e-05,1.3001080876111297e-05,3.2075952563078174e-05,3.4782691475489884e-05,2.064387342876692e-06,3.941976407905211e-05,6.124171633145797e-05,1.9657565950493977e-05,7.409679894781777e-05,2.65270936951372e-05,7.898256175691262e-06,2.0127318906420652e-05,6.41999713524946e-05,0.00010916249569518514,0.00010560542243886774,1.8506024942009834e-05,6.854671794884662e-05,0.00011855052677798008,7.294942237803327e-06,4.571686396595603e-05,1.6705438934141566e-05,0.000189600395668297,9.694878751728184e-05,4.579665822259995e-05,1.4517210212763229e-05,1.4751136190023741e-05,7.083859750606179e-06,3.014269561292977e-05,1.0570740277488822e-05,5.2397817763464926e-06,1.0730589902055256e-06,8.222862178616743e-06,1.795434543959981e-05,7.038344323681772e-06,1.6148626316180805e-05,5.0551179301519694e-05,1.3041169400106546e-05,3.5059483460074344e-06,0.0002626744835850436,0.00016693825556760047
-2.719298245614035,3.916254370871459e-06,6.850351075119158e-05,1.5264788549528976e-05,5.740346677677586e-05,1.7789226384247186e-05,0.00014910644976271774,2.4515180877024318e-05,2.6970133404224524e-05,0.0001352850924424585,6.776913220786603e-05,6.055891536249441e-05,8.520263167965195e-05,9.873391186216087e-05,1.1369711825507933e-05,3.603680438876238e-05,4.3033946461754665e-05,9.615139404070696e-05,7.590283450714914e-06,1.2400796748248977e-05,1.0637431917780213e-05,1.9356967351575188e-05,2.68460987457322e-05,4.9221444161006547e-05,4.8737256787808103e-05,3.0389545371714494e-05,2.6436721780641422e-05,2.1818543914717343e-05,7.021165464085437e-05,2.1424204998207784e-05,1.0518061001871977e-05,0.00013203915962148742,1.0720811711103052e-05,5.490526565966632e-05,0.00022766399729267126,9.724627658752901e-05,3.680272813418273e-05,1.2055245626209943e-05,1.2248272094955669e-05,0.0001447615411566125,3.21111691127144e-05,5.3263497315918245e-05,3.206521415779102e-05,6.972626024261572e-07,3.34802234366119e-05,1.05930059962379e-05,3.36147197991913e-05,4.459029300289118e-05,0.00020139462988985577,0.00011980550555064942,9.404393461836979e-05,0.00013078337811807508,9.177530344874283e-06,9.761998130903142e-06,4.2115464170040626e-05,0.00021499045517025535,8.566013847950686e-05,4.003325754579869e-06,6.290500953312995e-05,3.9877677118101316e-06,5.6466538715284754e-05,9.870667930112317e-06,6.892993316208678e-05,2.2589225718424244e-05,5.2862692143646796e-05,5.292654484627307e-05,4.168307900310729e-06,5.71841095834635e-05,8.918780480995246e-05,3.204907767368697e-05,0.00010826964578589492,4.1675950762409343e-05,1.4035251676184616e-05,3.1737496976393264e-05,8.951055457111012e-05,0.0001571111186905429,0.00014665286935065748,2.9625335335466296e-05,0.00010224631287425802,0.00015923502237240566,1.2835605154841299e-05,6.943035365640453e-05,2.730215800104331e-05,0.00026090105404483546,0.00014556587424857637,7.160498602278882e-05,2.54719808081342e-05,2.3621771387853394e-05,1.37873123437328e-05,4.646750067938773e-05,1.932304981512504e-05,9.743354948657825e-06,2.174350339243225e-06,1.4579728525039863e-05,2.8827714837755426e-05,1.2764272856446127e-05,2.7524741237467072e-05,7.635323233235105e-05,2.2549025258661896e-05,6.936491428093311e-06,0.0003272812029355572,0.00022506684956507126
-2.6791979949874687,6.829885339057047e-06,9.851786529831021e-05,2.562072100137339e-05,8.126921853412872e-05,3.241722258449299e-05,0.0001855965384502223,4.0586753948761706e-05,4.2523724994796334e-05,0.0001951833042182025,9.619697399072131e-05,8.975547476983912e-05,0.00011331019535192378,0.00014447891239037576,2.0945580485102068e-05,5.76666385271652e-05,6.644801200900108e-05,0.00013854155882740089,1.4044733671664401e-05,2.229057977059707e-05,1.922426078030749e-05,3.386280250282031e-05,4.4856029829057686e-05,7.65722001232004e-05,6.922785062323199e-05,5.0789811022618595e-05,4.1483298660410024e-05,3.5675637816985e-05,0.00010575603325382546,3.397062878555591e-05,1.9534255209588217e-05,0.00018706664756454395,1.9630568829810166e-05,8.821172978614058e-05,0.0003087380673940768,0.00013708636214258642,5.731303273562203e-05,2.145739696432048e-05,2.2248900985852198e-05,0.00018901477997475467,5.1727837028604964e-05,7.893647691189736e-05,5.161130277633812e-05,1.5103188542940258e-06,5.369608821956688e-05,1.8857457213277173e-05,5.4522394188758306e-05,6.931383055581944e-05,0.00023233264202797375,0.00017254309156506612,0.00014616652755717623,0.00017570144979252146,1.6680457832359013e-05,1.661176693699266e-05,6.586891867293333e-05,0.00021686126004434776,0.00012227732267581153,7.642374422093172e-06,8.47371344992319e-05,7.673754003704075e-06,8.713612063509122e-05,1.7310990817549567e-05,0.00010667929042032155,3.798407698187336e-05,8.434866374322623e-05,7.799380525711371e-05,8.129780167650034e-06,8.062167394472304e-05,0.00012564343319684866,5.078457254440334e-05,0.00015356591060884824,6.380686676460823e-05,2.4164452488272757e-05,4.851225082634384e-05,0.00012183372175405543,0.0002196515278627313,0.00019987854277950167,4.613482444379429e-05,0.00014792595543980825,0.00020855653041895118,2.190783444786282e-05,0.00010304953750319539,4.321709146154997e-05,0.0003500189987442825,0.0002119910618707744,0.0001081397435759341,4.3316767116934614e-05,3.675750287983557e-05,2.5887691698498586e-05,6.950236488398513e-05,3.4211101705726647e-05,1.7532754855520505e-05,4.264829258619405e-06,2.5034850687768164e-05,4.511074089977732e-05,2.2463594175367126e-05,4.545715833038329e-05,0.00011212539939557888,3.772406021441038e-05,1.3251713884227436e-05,0.00039964414506531024,0.0002955648554316905
-2.6390977443609023,1.1635287244915365e-05,0.00013870667694234958,4.156954055517898e-05,0.00011212456662695549,5.70599346783591e-05,0.0002277297956133659,6.515824888259193e-05,6.53729677593686e-05,0.0002730170738502766,0.00013314232836566725,0.00012901974012555207,0.0001470526533606175,0.00020559262534321416,3.7299499500125686e-05,8.954510458258308e-05,9.994746005268785e-05,0.0001937628299297759,2.5162809251861727e-05,3.8765298812045595e-05,3.363007050345866e-05,5.740982491732937e-05,7.2729052298282e-05,0.00011595053174264674,9.529683489705423e-05,8.242065832742685e-05,6.332889703479658e-05,5.660195423455852e-05,0.00015502075939118697,5.264006557261255e-05,3.502767356642415e-05,0.00025796195092555864,3.4719210677586695e-05,0.00013722511236997592,0.00040388473580746885,0.00018746917590507306,8.686660195974338e-05,3.695699563417887e-05,3.913340859246223e-05,0.0002390614635562335,8.112012375404507e-05,0.00011367603677708379,8.105671528725945e-05,3.1608684293989244e-06,8.368878552013772e-05,3.2514027139972914e-05,8.561081171264456e-05,0.00010466124599101585,0.0002677712649140602,0.00024221076981287978,0.00022027108640220746,0.00022887332052642272,2.9364092378169396e-05,2.744203611672099e-05,0.00010040150918024536,0.00021892607473973842,0.000169902715732232,1.4157453162906136e-05,0.00011068331407356522,1.4275068711808172e-05,0.00013139381923764825,2.9455760107447048e-05,0.00015976581243108524,6.186504793082506e-05,0.00013042871603332685,0.00011148582489958658,1.5322389914957164e-05,0.00011089492892089329,0.00017147866591829468,7.833326692641138e-05,0.00021182460274868007,9.54334751085027e-05,4.0358564765234425e-05,7.201320318881619e-05,0.00016252893537817956,0.0002987947956125482,0.00026836279151412,7.002248504189169e-05,0.00020796392396117344,0.00026715959122754044,3.630681904005605e-05,0.00014977561198092426,6.635464893591554e-05,0.0004585624267849024,0.0002998044699836463,0.00015795386378814397,7.145807674336224e-05,5.571787165203243e-05,4.691006244842397e-05,0.00010108227851691548,5.8691374412344394e-05,3.056068856564191e-05,8.103500714676202e-06,4.1683042052126654e-05,6.896485669823325e-05,3.840144271095558e-05,7.2818592788704e-05,0.0001604350737570339,6.112340766146911e-05,2.445320140562923e-05,0.0004791461702588956,0.0003787818638894502
