p_edge,n_normal,n_edge,baseline_sse,improved_sse,delta_sse,baseline_var,improved_var,delta_var
0.04,100,100,0.006501785490722342,0.005672275981040603,-0.0008295095096817386,0.0002197577573136981,0.0002367261230210512,1.696836570735309e-05
0.3,10000,10000,0.0013399193545440607,0.0008705496126769278,-0.0004693697418671329,6.72009444243849e-06,6.711770801795862e-06,-8.323640642627572e-09
0.1,1000,1000,0.002385264478199375,0.0017830768919487696,-0.0006021875862506053,4.270939427126149e-05,4.6154030945305616e-05,3.4446366740441227e-06
0.04,10000,10000,0.0012078032648033393,0.0010182517535987342,-0.00018955151120460517,6.896301207098876e-06,7.2347511687989186e-06,3.3844996170004254e-07
0.3,1000,1000,0.002889196737384023,0.001792432910840395,-0.001096763826543628,4.06684838964892e-05,4.274534434025719e-05,2.0768604437679922e-06
0.2,1000,1000,0.0026798614896678696,0.00172551413772908,-0.0009543473519387897,3.811582541653612e-05,3.978808142991413e-05,1.672256013378005e-06
0.02,1000,1000,0.0028984145830909407,0.002616843861778598,-0.00028157072131234284,4.025196370934724e-05,4.1710383734477535e-05,1.458420025130296e-06
0.1,100,100,0.0060439716625421665,0.004714774341562645,-0.0013291973209795215,0.0002656665916707912,0.000284069240977733,1.840264930694181e-05
0.2,100,100,0.006348433132321541,0.004012071436194914,-0.002336361696126627,0.0002377393254369092,0.0002623497609244328,2.461043548752359e-05
0.04,1000,1000,0.002870460918303342,0.0024203199071536844,-0.0004501410111496574,3.7338012611281655e-05,3.963400401379565e-05,2.2959914025139953e-06
0.02,100,100,0.006149993609130742,0.005526224686909981,-0.0006237689222207609,0.0002737877227700952,0.0002903479144703539,1.656019170025874e-05
0.1,10000,10000,0.0011511782648379264,0.0008480500353003162,-0.0003031282295376102,7.21677979259338e-06,7.771428743804564e-06,5.546489512111839e-07
0.01,100,100,0.006830640323957042,0.006432745197616893,-0.0003978951263401498,0.00021865996337912366,0.00022738331912263026,8.723355743506597e-06
0.2,10000,10000,0.0012353627195968255,0.0008345123729662121,-0.00040085034663061344,7.181391982542065e-06,7.325086255452756e-06,1.4369427291069126e-07
0.01,10000,10000,0.0011283836387309342,0.0010493425172502784,-7.90411214806558e-05,7.133221489004928e-06,7.386390809383612e-06,2.531693203786839e-07
0.3,100,100,0.006132697353576588,0.0037690189559116604,-0.002363678397664927,0.00024307313872280468,0.00024914326578974005,6.070127066935371e-06
0.02,10000,10000,0.0012265107874199093,0.001101972318816152,-0.00012453846860375735,7.155053842470174e-06,7.453984350746767e-06,2.989305082765926e-07
0.01,1000,1000,0.0027335375739482933,0.00253735934760794,-0.00019617822634035312,4.27936626389389e-05,4.359684860920657e-05,8.031859702676674e-07
