x,true,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90,run_91,run_92,run_93,run_94,run_95,run_96,run_97,run_98,run_99
-13.0,1.1301647034905271e-06,7.375905346519594e-56,5.798554197896109e-44,7.562254777632382e-123,1.531606234429937e-139,8.917042319666909e-21,1.4801744507508065e-88,1.700776770459065e-109,1.50183036874411e-145,1.1806742102116585e-111,1.413036182187565e-82,5.817001041294021e-104,2.0706067862879328e-105,1.249514977567616e-143,8.838754686349358e-52,4.108798634272824e-49,6.321474089026286e-72,9.457729927235874e-94,5.783334686697097e-46,6.4762950742052524e-111,3.017665721761284e-87,4.1372007608335337e-128,1.2593009029559199e-104,1.7331318384924084e-27,2.661580417436307e-47,1.2332256995012461e-132,3.393714663164243e-50,6.3652573384258375e-86,4.974006830493616e-14,3.2873127898616192e-80,1.4046161278882719e-28,1.467240724129962e-73,2.7859132868027554e-93,5.1615989892312846e-70,3.808023180424638e-86,9.744494812354877e-75,2.2497236974813134e-60,7.756835605642759e-69,3.5168752605015165e-100,9.881413201926995e-105,1.4848139696765598e-117,2.5187277574275092e-64,3.210258406840364e-93,2.57197170193439e-06,4.6175087617814356e-77,1.880682940706278e-92,4.10174096086359e-45,2.5282194665288463e-59,1.2370495213339409e-54,1.5969514071849494e-43,1.9621274121227972e-48,1.3172374089739837e-54,3.924382090106293e-92,9.76379029941449e-77,4.6097100223329386e-92,1.701163685643887e-71,2.4483920016023667e-115,3.8887226207163205e-96,2.294486485081752e-64,4.7063488315628906e-52,3.279919184098685e-60,1.981851791765625e-120,2.3600288447353572e-88,2.2556610632462326e-83,1.8653670112978976e-72,1.3960544969169602e-114,3.089915735186217e-109,3.224928313967122e-109,9.184908232834289e-85,1.1364099118081895e-58,3.158838798621646e-55,2.598615406025719e-45,9.214134504049107e-90,3.5244482326045923e-74,2.1586927227550366e-52,2.04348284321401e-98,6.280826933129735e-51,5.299767918538135e-108,1.642096751064997e-75,4.710847149894021e-78,8.298510892347654e-122,3.417047227551415e-102,4.410568621827599e-17,1.3001680466923164e-26,6.290688399884515e-87,3.3007257297370697e-72,2.054625835336192e-34,4.326777002798712e-58,2.6709398103981082e-52,3.6050447845888224e-125,6.647286249456574e-34,2.2462700972283795e-55,2.4837093815209382e-54,1.1159454102288024e-97,2.7431531077838575e-48,2.936812325303954e-142,1.3008853808814903e-52,1.3015912132731176e-69,6.849171389235839e-103,2.3632828349812997e-58,5.381304819230239e-58
-12.93483709273183,1.206261955204732e-06,1.3552197116033682e-54,7.558171719106541e-43,7.78389330233952e-121,2.4270581509863517e-137,4.503011327430033e-20,5.9621810564484545e-87,1.2109228482895414e-107,2.371290727905262e-143,9.947289349728108e-110,4.916141412075782e-81,3.243043752198504e-102,1.2871681014698222e-103,2.128601128496779e-141,1.472938761089582e-50,5.557434458921007e-48,1.7414369126510322e-70,4.7093822731986264e-92,7.907035481669742e-45,4.393410617182133e-109,1.0887304674014327e-85,4.0155000124208825e-126,7.17763758845069e-103,1.149856809387226e-26,4.036453985274613e-46,1.5677570262699839e-130,5.049714866097892e-49,2.354296974405728e-84,1.6918680852208433e-13,1.4499818769954898e-78,1.061467531941755e-27,5.247145387910425e-72,1.5696715564328062e-91,1.4904107970342642e-68,1.5112367817565974e-84,2.2428190053024995e-73,4.448037830299261e-59,2.1780296156038374e-67,1.6888156914716257e-98,5.786216217208924e-103,1.1529133226311408e-115,5.64426739095788e-63,1.3262852067345086e-91,4.778920839621482e-06,1.6419728904390282e-75,7.447426698344575e-91,5.701917254521876e-44,5.301030359050033e-58,2.240346791493545e-53,1.8019533304212237e-42,2.766620527569097e-47,1.9466879278648125e-53,1.7326362295288745e-90,2.6280988385120507e-75,2.137736264110356e-90,4.24241224147965e-70,2.061768838707257e-113,1.7339971224944764e-94,5.464662475778212e-63,6.864662212123077e-51,6.5874738399074534e-59,1.6580400038893513e-118,1.0154435974297965e-86,9.370236209212438e-82,5.662696439091798e-71,1.1162981619481985e-112,2.2376922397329378e-107,2.2607872633717032e-107,2.9838719677008393e-83,2.3762989818495287e-57,5.556982009598199e-54,3.9164142716105655e-44,3.521570195781034e-88,1.0185531837900281e-72,3.130886969358247e-51,9.363959549244018e-97,1.0072488696391874e-49,3.9191805387265254e-106,4.3834965043595695e-74,1.4609246657175403e-76,8.587508911411611e-120,1.9242601429593897e-100,1.8437857663308213e-16,8.643937559594837e-26,2.554544178239295e-85,8.052994648648294e-71,1.735167716337919e-33,8.604710628336792e-57,4.4600247466226155e-51,3.9216104193006315e-123,5.89234965235472e-33,4.0779284313414345e-54,4.169830289458581e-53,5.464604738477106e-96,4.7938846604747405e-47,4.323411809605329e-140,1.925462898281996e-51,3.422404259623791e-68,3.7683188294018345e-101,4.392314650321846e-57,1.0075200580801352e-56
-12.869674185463658,1.2874830545320946e-06,2.4027365261018244e-53,9.503203109568614e-42,7.702283183570096e-119,3.690648820755824e-135,2.197960859636745e-19,2.3183437576528203e-85,8.302930099759991e-106,3.59904958140899e-141,8.053064972183353e-108,1.6515448929067648e-79,1.745302417029332e-100,7.713034804352439e-102,3.4795397887824394e-139,2.3673752566892054e-49,7.274009029010812e-47,4.6306711663608267e-69,2.25945359080227e-90,1.0432569583922769e-43,2.87441621879687e-107,3.7978552974690253e-84,3.7567011949605756e-124,3.948490163792589e-101,7.37942392051038e-26,5.897485070909145e-45,1.9151859199300574e-128,7.259261916668839e-48,8.410388889801886e-83,5.571879793524546e-13,6.138094182399075e-77,7.735650500401087e-27,1.802580837033685e-70,8.49993873543057e-90,4.146196815161542e-67,5.7855267483540585e-83,5.007780651305678e-72,8.496198966315233e-58,5.890746095330188e-66,7.838465244430438e-97,3.268720742455405e-101,8.631897488628713e-114,1.2213269489880962e-61,5.296844950329035e-90,8.588630545481857e-06,5.620380801739198e-74,2.8522598058110665e-89,7.64001721185698e-43,1.071592121046595e-56,3.913157727694657e-52,1.9683715475027592e-41,3.769008252227045e-46,2.7882871899117594e-52,7.382562357355226e-89,6.847466299953421e-74,9.558319271903244e-89,1.0231606177663277e-68,1.670570902495702e-111,7.4730378414658726e-93,1.2550099402104986e-61,9.69124355744704e-50,1.2775828070796953e-57,1.337092197435219e-116,4.2119529400665125e-85,3.7465380446696276e-80,1.6563075030506466e-69,8.59401084913017e-111,1.5600126072121207e-105,1.5267449537394422e-105,9.381241141836072e-82,4.7888326979550015e-56,9.439027288770835e-53,5.677267568147018e-43,1.301193082739276e-86,2.8417381852707607e-71,4.396711556385909e-50,4.1481755861292554e-95,1.558455943829121e-48,2.7879356510184546e-104,1.1322363769874984e-72,4.375735107737278e-75,8.539032056491895e-118,1.0451672557406534e-98,7.450606475262805e-16,5.551395515652764e-25,1.00054939569449e-83,1.9015924180196716e-69,1.418292904635206e-32,1.650554476749195e-55,7.185319398785383e-50,4.100246964158878e-121,5.044803625201114e-32,7.14335536931999e-53,6.763059931663603e-52,2.5831409572578046e-94,8.04627516141254e-46,6.119132412194537e-138,2.758454037860956e-50,8.68433382657415e-67,2.0010451283970184e-99,7.888030674134476e-56,1.8219766225670124e-55
-12.80451127819549,1.3741730049224278e-06,4.110594690744478e-52,1.1526023240061557e-40,7.32688763491689e-117,5.385360099112841e-133,1.0369828471149648e-18,8.70223726001411e-84,5.482669151837886e-104,5.250854349557962e-139,6.264687800425313e-106,5.357366184734993e-78,9.066773956412799e-99,4.4552050854596184e-100,5.4578805079406535e-137,3.66976555492674e-48,9.21325976883153e-46,1.188575983208889e-67,1.044492558316017e-88,1.3283457585507537e-42,1.813719924975352e-105,1.2809306333850621e-82,3.387723181236151e-122,2.096419146229123e-99,4.581078093655042e-25,8.301185620773915e-44,2.2482216188717426e-126,1.0082126791510695e-46,2.901886792559199e-81,1.7766918073488212e-12,2.4937559592941555e-75,5.436608087462481e-26,5.948621394175206e-69,4.4237347746320795e-88,1.111260934942614e-65,2.1366393241296417e-81,1.0847072414283508e-70,1.5678257358940105e-56,1.5346316728247368e-64,3.516440890928211e-95,1.7814292329519868e-99,6.231619015267759e-112,2.5518451025467577e-60,2.0449420081223435e-88,1.4929609193068763e-05,1.8518551158353287e-72,1.056486906257846e-87,9.867076807388524e-42,2.0884420641226907e-55,6.59209408188478e-51,2.0815283069697496e-40,4.9608910047786263e-45,3.870682594523113e-51,3.035781311203401e-87,1.726963151450087e-72,4.120556103934458e-87,2.386376413810877e-67,1.30243471937745e-109,3.1128155933516587e-91,2.7793098843228105e-60,1.3242351847905532e-48,2.39261933742566e-56,1.0393701462523942e-114,1.684226222185113e-83,1.4418253843126126e-78,4.667854999251599e-68,6.370146726679315e-109,1.046959527101508e-103,9.932086298468213e-104,2.854402195759697e-80,9.30080976879019e-55,1.5480757806983568e-51,7.915789268993742e-42,4.648049412142346e-85,7.654065832906207e-70,5.978229523291554e-49,1.776494234651753e-93,2.326430321672823e-47,1.907741638701506e-102,2.8297499445303526e-71,1.2658102806148527e-73,8.158766386983582e-116,5.47541499445011e-97,2.9103021895340924e-15,3.444063672403644e-24,3.779840919651956e-82,4.345997963257501e-68,1.122034366419651e-31,3.053833056050755e-54,1.1168388942453095e-48,4.120476000819833e-119,4.17168634177594e-31,1.2073965908835656e-51,1.0596814857069506e-50,1.1787209529498586e-92,1.2970954813891431e-44,8.32656610180908e-136,3.824994591195498e-49,2.1266215629110254e-65,1.0255710713466942e-97,1.3688036076538362e-54,3.182400917269208e-54
-12.739348370927319,1.4667000399036824e-06,6.785865214738918e-51,1.3484821225473042e-39,6.7003493409205555e-115,7.540779832107044e-131,4.728875653578323e-18,3.1532936967641303e-82,3.486570465306152e-102,7.363956947295279e-137,4.682949135632817e-104,1.678058948798001e-76,4.5467293482172255e-97,2.4806328876198684e-98,8.214874566798824e-135,5.486537330765533e-47,1.1292569995148317e-44,2.944806557513697e-66,4.652321498826261e-87,1.6321994137338794e-41,1.1037317155444289e-103,4.177171988497813e-81,2.944717799336716e-120,1.0742928790332823e-97,2.750929548387335e-24,1.1256926509816042e-42,2.536082014839497e-124,1.3528383995992466e-45,9.670622019678326e-80,5.485264623167877e-12,9.723526069699497e-74,3.684684227105436e-25,1.8857661441069186e-67,2.212733554780969e-86,2.8694879106086058e-64,7.611985066563606e-80,2.2792709353779894e-69,2.7950386437998183e-55,3.850927481465978e-63,1.5247516882977213e-93,9.366276196467839e-98,4.337909797984023e-110,5.148428513695477e-59,7.6318202639404e-87,2.5101714836520756e-05,5.873402645515364e-71,3.7846990282956066e-86,1.2282970992530953e-40,3.9240908350869944e-54,1.0710343023294303e-49,2.130930406697762e-39,6.308809095498714e-44,5.207706548823386e-50,1.2047514802071942e-85,4.2160057723117075e-71,1.7126831335793573e-85,5.382676317803383e-66,9.770422088412606e-108,1.2531902528557204e-89,5.935164520428371e-59,1.751362375953694e-47,4.326857104391397e-55,7.787923432659862e-113,6.492419137293568e-82,5.340698971802438e-77,1.267513062583108e-66,4.5461192557308867e-107,6.764032900244004e-102,6.224173701772862e-102,8.40513679905658e-79,1.7409021941747744e-53,2.451511385414305e-50,1.0615811736231547e-40,1.6051784510927757e-83,1.9902521480185393e-68,7.870479992354478e-48,7.354946917654354e-92,3.35060589729328e-46,1.2557581162606914e-100,6.843110184717572e-70,3.536556553060671e-72,7.490568205810855e-114,2.766671214806341e-95,1.098878913020986e-14,2.064042663818417e-23,1.3772677639656347e-80,9.613325656333378e-67,8.591364502524232e-31,5.449824997855381e-53,1.6748295871223495e-47,3.979940598555778e-117,3.331890007816034e-30,1.9691675356055388e-50,1.604038217618691e-49,5.192152608417346e-91,2.0082546415978268e-43,1.0893184372535527e-133,5.133698683575061e-48,5.025652070663853e-64,5.073109975826568e-96,2.295150110488605e-53,5.36895758333814e-53
-12.674185463659148,1.5654571872301476e-06,1.0809556281598964e-49,1.5218334238327186e-38,5.890520528421401e-113,1.0132281838843992e-128,2.0843897039737993e-17,1.1030071838298331e-80,2.1352592119315534e-100,9.927311480602959e-135,3.363730757483689e-102,5.075256854795793e-75,2.20094724652403e-95,1.3314034585213428e-96,1.1864584864697023e-132,7.911287362593088e-46,1.339406062359442e-43,7.042606204865943e-65,1.9966251260453726e-85,1.9354303298017098e-40,6.4778303346090515e-102,1.317070582745019e-79,2.4672560146249855e-118,5.313305647116543e-96,1.5979301033880057e-23,1.4706386221703907e-41,2.749055221059595e-122,1.753774567483926e-44,3.112704597779233e-78,1.639676581276413e-11,3.638673133363306e-72,2.408316633763975e-24,5.742609260475767e-66,1.0637422425706559e-84,7.138631747300687e-63,2.6160348901631107e-78,4.646174714850033e-68,4.8138744264206544e-54,9.307945961310406e-62,6.390258930952241e-92,4.7508685381601666e-96,2.9116900596466698e-108,1.0029818486486612e-57,2.7533325708749727e-85,4.0821482928014494e-05,1.7931393792595915e-69,1.3112659121394298e-84,1.473801821952533e-39,7.108522979746836e-53,1.678291146345405e-48,2.1118735667373504e-38,7.75157922333449e-43,6.7906967536531416e-49,4.614111451870258e-84,9.962865810560844e-70,6.863491502748057e-84,1.1741450884559595e-64,7.052404337752034e-106,4.8762731644764234e-88,1.2221782074115336e-57,2.2418790914667477e-46,7.55589460847068e-54,5.624911272669469e-111,2.4126919972829294e-80,1.9040854928159587e-75,3.3162421121558615e-65,3.1237053593903143e-105,4.2068358150318223e-100,3.7574238311111435e-100,2.3952406742896522e-77,3.1404399795865815e-52,3.748455302446422e-49,1.3693558287880042e-39,5.35919426012307e-82,4.996107646390005e-67,1.0032608788439856e-46,2.943773232639862e-90,4.6558011842413843e-45,7.951376873294655e-99,1.6012292776128753e-68,9.543045391276279e-71,6.60814309190042e-112,1.3483646540124656e-93,4.0107619491266447e-14,1.1949362001237041e-22,4.84030930711039e-79,2.0581159827672993e-65,6.366985905754333e-30,9.38083846094693e-52,2.4231838246987232e-46,3.694857076206532e-115,2.5702850557665537e-29,3.0988490523842726e-49,2.3456398474004845e-48,2.207788368947813e-89,2.986313373764679e-42,1.370113710536127e-131,6.669056548928261e-47,1.1461544014212713e-62,2.4220462303799864e-94,3.718591331768991e-52,8.748791087695537e-52
-12.609022556390977,1.6708639383492887e-06,1.6615467709703794e-48,1.6567053169004963e-37,4.978387337088467e-111,1.3064348341260529e-126,8.88044333649573e-17,3.724540274741602e-79,1.2593559870535884e-98,1.2864449551017036e-132,2.3216929892237597e-100,1.4821896352704977e-73,1.0284528351311716e-93,6.88825555952416e-95,1.6442916629871706e-130,1.1002332957518024e-44,1.5373463594435456e-42,1.6257615607743166e-63,8.256306164105873e-84,2.214746930072683e-39,3.666640961822904e-100,4.015190050233229e-78,1.9925984724041575e-116,2.5363222080636506e-94,8.978476001049272e-23,1.8509663971008454e-40,2.863516093994087e-120,2.1965226820568517e-43,9.676782066595012e-77,4.745630648001616e-11,1.3068078494311245e-70,1.51798666616402e-23,1.679889154742492e-64,4.914863188878147e-83,1.7109912805094215e-61,8.672983934548495e-77,9.187794921347328e-67,8.009743531872988e-53,2.1670538134873218e-60,2.588578485677964e-90,2.3248063007397643e-94,1.8844940647476054e-106,1.8867287568335136e-56,9.60224122711082e-84,6.42102849046548e-05,5.269626407562605e-68,4.393821273426391e-83,1.7044940808984008e-38,1.2414904733880222e-51,2.5363849435323176e-47,2.0261811237552355e-37,9.202124351524231e-42,8.582050359636479e-48,1.7054630669202017e-82,2.2789370192778766e-68,2.651917872510847e-82,2.4769055774439565e-63,4.898101908176661e-104,1.8338611394234834e-86,2.42684641703935e-56,2.7776251496802123e-45,1.2741296585766282e-52,3.916086421879945e-109,8.643436149325912e-79,6.533978495162498e-74,8.35985443913274e-64,2.0665082883926678e-103,2.518717429087619e-98,2.1850730509909883e-98,6.605843519715185e-76,5.459704484165677e-51,5.534106114213222e-48,1.6989615265077585e-38,1.7298134619482016e-80,1.2107744581934162e-65,1.238256340232958e-45,1.1390380454498952e-88,6.241705638779654e-44,4.843160750116746e-97,3.6253340371498266e-67,2.4870686061367e-69,5.601682957614394e-110,6.338208177794667e-92,1.4150416583803885e-13,6.682660257444495e-22,1.6407322680073409e-77,4.2645979202220394e-64,4.566898813258158e-29,1.5574804147584772e-50,3.3824994968048504e-45,3.296936450878525e-113,1.9150651483147504e-28,4.705472171164406e-48,3.313715386372996e-47,9.062353112628392e-88,4.265026616455587e-41,1.656804282913136e-129,8.385576034583454e-46,2.5225648288293705e-61,1.1160668684230203e-92,5.821611416956944e-51,1.376984687168366e-50
-12.543859649122806,1.7833680302785932e-06,2.4644461911625164e-47,1.739721123393533e-36,4.0448551075323973e-109,1.616433090788558e-124,3.6570009998336143e-16,1.2140803336495146e-77,7.153064941088219e-97,1.602470095363858e-130,1.5398206214135252e-98,4.1796936344166576e-72,4.638988994785924e-92,3.43527262897624e-93,2.186652946573225e-128,1.4757446253892628e-43,1.707541161717859e-41,3.622656109063323e-62,3.2895575648446683e-82,2.4457548029605777e-38,2.0016124594870887e-98,1.1835155270169234e-76,1.5511746179427275e-114,1.1685345889788776e-92,4.879934706028838e-22,2.244385904521154e-39,2.86623495443375e-118,2.6578575165341133e-42,2.9055848902104183e-75,1.3298565937211183e-10,4.504326403353873e-69,9.227060959361937e-23,4.720651201248464e-63,2.1825023231323095e-81,3.9509620729636164e-60,2.7737894190399355e-75,1.7625572004667482e-65,1.2875359866600085e-51,4.859738142876417e-59,1.0135094097094091e-88,1.0975094959790474e-92,1.1760598064800474e-104,3.427077084202648e-55,3.237203140865113e-82,9.769016659772972e-05,1.4906892179195154e-66,1.4239219885608254e-81,1.900083345199617e-37,2.0904082503852482e-50,3.696978877188794e-46,1.881916364223222e-36,1.0554583719006845e-40,1.0511789832745857e-46,6.083593450425006e-81,5.045977663840865e-67,9.879203477777176e-81,5.053139882792711e-62,3.2732968517696506e-102,6.665799894527608e-85,4.646821968138024e-55,3.3308905556246835e-44,2.0747021318083902e-51,2.6280369527853337e-107,2.9851089223417244e-77,2.158101514459651e-72,2.0305322920707135e-62,1.3162612330117248e-101,1.4517016350917428e-96,1.224077915800331e-96,1.763121161285819e-74,9.147665789900355e-50,7.8889526925414685e-47,2.027472146305282e-37,5.397872719015887e-79,2.8327124555577598e-64,1.479759944497179e-44,4.260702173851114e-87,8.07327821696679e-43,2.8376963820449302e-95,7.942131094778873e-66,6.260123993415453e-68,4.5628061946100595e-108,2.8736575307164467e-90,4.825883771935811e-13,3.610212317688121e-21,5.364289351886737e-76,8.552604532907737e-63,3.170477294604282e-28,2.494166069197564e-49,4.555381591403649e-44,2.82758335065807e-111,1.3781530192764435e-27,6.894313524042956e-47,4.522476639134096e-46,3.590856638723982e-86,5.850296526513602e-40,1.926187871457457e-127,1.0205537394496005e-44,5.357843796740045e-60,4.963609870077766e-91,8.806541341499562e-50,2.0933081607429103e-49
-12.478696741854638,1.9034473474613295e-06,3.527184483855658e-46,1.7622609995440754e-35,3.159344987111819e-107,1.919186611880605e-122,1.4556273732642059e-15,3.820345046035089e-76,3.9127452639344287e-95,1.9187917393007572e-128,9.813349148077029e-97,1.1380990473571992e-70,2.0198844265935783e-90,1.651450473551075e-91,2.7903299573865398e-126,1.9090901613792305e-42,1.835315082372062e-40,7.791914532019429e-61,1.2628496148631087e-80,2.6064173781430783e-37,1.0538151137502574e-96,3.372974515074802e-75,1.1639576811773845e-112,5.196084949604615e-91,2.565617643268569e-21,2.6218205386026337e-38,2.756893203673696e-116,3.107146833998414e-41,8.426471019719474e-74,3.608201926022357e-10,1.4900381997249388e-67,5.408787065985241e-22,1.2743042324684942e-61,9.314654984828918e-80,8.789824052533865e-59,8.557736600794527e-74,3.280131982567056e-64,1.9994799577233383e-50,1.0497439284307398e-57,3.835463193890678e-87,4.998475851358144e-91,7.076997540612084e-103,6.010855474818989e-54,1.0549957140703219e-80,0.00014375651547250033,4.0591574604537214e-65,4.462951832855993e-80,2.041599499504059e-36,3.393458403701233e-49,5.197119606307167e-45,1.6921313642404172e-35,1.1696319524226335e-39,1.2478752439604757e-45,2.0943134164111024e-79,1.0814919287805485e-65,3.5483845625203466e-79,9.96959175154809e-61,2.1047967860972165e-100,2.3417768040374272e-83,8.579772226566066e-54,3.866093639109672e-43,3.2622127129342466e-50,1.700017137031287e-105,9.938552745068655e-76,6.8607082328152795e-71,4.7520366872502305e-61,8.072069262074933e-100,8.054699055608932e-95,6.605710303169726e-95,4.55418623442187e-73,1.4771138018440806e-48,1.0858452725635898e-45,2.3271821202967516e-36,1.6284318989464526e-77,6.398077720787205e-63,1.7122059360028222e-43,1.5407536108905657e-85,1.0074751295382859e-41,1.5993877489052752e-93,1.6835289576376932e-64,1.521852279336209e-66,3.5712473464416814e-106,1.256645936523106e-88,1.5909252821808143e-12,1.8840607445683733e-20,1.6915955902124821e-74,1.6600866072649834e-61,2.1303142024722343e-27,3.852565004351975e-48,5.9189875528319044e-43,2.330838557051512e-109,9.579061367941309e-27,9.746841016223924e-46,5.96272409618141e-45,1.3735001149559478e-84,7.707326895227528e-39,2.152974664452855e-125,1.2021906100713427e-43,1.0982121943921755e-58,2.130613621737211e-89,1.2872560637932804e-48,3.0736910582167594e-48
-12.413533834586467,2.0316119516797575e-06,4.871234941506768e-45,1.7219361599568972e-34,2.372310209989573e-105,2.1865840283478436e-120,5.600284009940585e-15,1.1604813628646586e-74,2.061183848713659e-93,2.2085383447371733e-126,6.009608051846395e-95,2.9923376854487483e-69,8.489730719654256e-89,7.652833872013149e-90,3.4166930245196687e-124,2.3819381014150874e-41,1.9089303374737583e-39,1.6177375399807723e-59,4.671197456459939e-79,2.68050888436052e-36,5.3508366545303144e-95,9.294453801442168e-74,8.418788250868843e-111,2.2300183454403622e-89,1.3047773023420821e-20,2.950630455776862e-37,2.5481447362063403e-114,3.509343966869998e-40,2.3603013217589803e-72,9.47877069750859e-10,4.7305798781161576e-66,3.0575772652958705e-21,3.30441256920387e-60,3.8207457962790306e-78,1.8839951005028821e-57,2.546979164301199e-72,5.921825268790136e-63,2.999795482981808e-49,2.18414367821919e-56,1.4029153347308564e-85,2.1962145289559948e-89,4.106328461312268e-101,1.0179974909344207e-52,3.3236465945725624e-79,0.00020461367618285962,1.0639621825825881e-63,1.3528523393234775e-78,2.11440995756514e-35,5.311016481798832e-48,7.046320517100401e-44,1.4729212750547404e-34,1.2523117126955009e-38,1.4357358948574478e-44,6.958037940350552e-78,2.2437072938984055e-64,1.2288144852576842e-77,1.9022062871737794e-59,1.3022741062825069e-98,7.951446312958517e-82,1.527571217355764e-52,4.343198237786164e-42,4.953169534984639e-49,1.0600290990761916e-103,3.189887165797609e-74,2.0992731123487363e-69,1.0715399528001866e-59,4.7661259965266335e-98,4.3022466585555554e-93,3.433976950450774e-93,1.1384505382785472e-71,2.2986885732177084e-47,1.4430894834685003e-44,2.5692713222147973e-35,4.74941540524349e-76,1.3950966902601704e-61,1.9182479982446068e-42,5.38634639899684e-84,1.2129880651542116e-40,8.671469541771061e-92,3.4530164484691795e-63,3.573192856376366e-65,2.685853063194705e-104,5.300298257511335e-87,5.069767020550169e-12,9.498083332381559e-20,5.145063804450738e-73,3.1187111686728333e-60,1.3854103745770466e-26,5.739795504470257e-47,7.420031233280304e-42,1.846719533741283e-107,6.430727350053758e-26,1.329602330767248e-44,7.594870111348014e-44,5.071458553343467e-83,9.752129199707266e-38,2.313620028987178e-123,1.370708988249562e-42,2.1723558986442446e-57,8.8269648112134e-88,1.8181173781612618e-47,4.359234702190122e-47
