p_edge,n_normal,n_edge,baseline_sse,improved_sse,delta_sse,baseline_var,improved_var,delta_var
0.04,100,100,0.01224353941495421,0.01021326773174003,-0.00203027168321418,0.0070349792103184434,0.003421449382495241,-0.0036135298278232027
0.3,10000,10000,0.001664898175724297,0.0032741527010916884,0.0016092545253673914,6.981570034910047e-05,4.747433181114336e-05,-2.234136853795711e-05
0.1,1000,1000,0.004480416962895761,0.0033655756123754433,-0.0011148413505203173,0.0006343520489597179,0.00031046261614131094,-0.000323889432818407
0.04,10000,10000,0.0014331181997406862,0.0014739080325528514,4.078983281216521e-05,4.519568536413004e-05,3.5162424753099676e-05,-1.0033260611030366e-05
0.3,1000,1000,0.004479126042645301,0.004763036361219482,0.000283910318574181,0.000742978564379416,0.00038931530089652297,-0.000353663263482893
0.2,1000,1000,0.004426554027755873,0.0035657926164818876,-0.0008607614112739856,0.0006860590569386566,0.0003517885724515982,-0.00033427048448705845
0.02,1000,1000,0.00407068355083327,0.0036496779913374176,-0.00042100555949585233,0.0003627944972875884,0.00030876461097102806,-5.402988631656033e-05
0.1,100,100,0.019260735127917913,0.012849676430466526,-0.006411058697451387,0.012476444759054042,0.003942072412331083,-0.008534372346722958
0.2,100,100,0.017381366639460757,0.011352327756294715,-0.0060290388831660425,0.013425006528688053,0.004090088201717833,-0.00933491832697022
0.04,1000,1000,0.004212067181158368,0.00339248652701266,-0.0008195806541457075,0.00042213469549295626,0.00031231156538923165,-0.00010982313010372461
0.02,100,100,0.011956462535139973,0.009271329489942684,-0.0026851330451972896,0.006058000421160651,0.0034676993375503595,-0.002590301083610291
0.1,10000,10000,0.0013640531825517247,0.0014468936388364673,8.284045628474267e-05,6.0965960768479385e-05,3.385438983316633e-05,-2.7111570935313056e-05
0.01,100,100,0.009330320804360906,0.007855960909978778,-0.0014743598943821271,0.00318666933226467,0.0021924826764203316,-0.0009941866558443382
0.2,10000,10000,0.0016189852711380015,0.0020604156845956574,0.00044143041345765595,7.595498835690773e-05,4.0536579788211635e-05,-3.54184085686961e-05
0.01,10000,10000,0.0016723205629563215,0.0017639925040419592,9.167194108563779e-05,2.9032033377048727e-05,2.35589721182712e-05,-5.473061258777527e-06
0.3,100,100,0.020605298988017964,0.010769604969548556,-0.009835694018469407,0.014219761014007903,0.0040326537908731055,-0.010187107223134798
0.02,10000,10000,0.001520516067850583,0.001631355421225804,0.00011083935337522096,3.649850010335051e-05,2.9240927334164002e-05,-7.2575727691865094e-06
0.01,1000,1000,0.003929648480491206,0.0038470221908373,-8.262628965390604e-05,0.00027507960953803367,0.00022441527764254163,-5.0664331895492034e-05
